wallet,timestamp,in_token,out_token,amount_in,amount_out,volume_usd,platform,tx_hash,mode,leverage
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 04:53:56.000 UTC,SHIB,USDT,8676268.57496845,8674412.53414799,156.17,binance,PFM452x7XnjxKe5uZ9DdjGUsjTFFJEsPWYgDrvc7aYWZYpQ6cehRPCi5EsCY2kpk,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 05:51:54.000 UTC,SOL,USDT,0.66857894,0.66917694,94.94,binance,ipct683UiFi1F3WY7LPJyhGpbPrpRXEhNWxG5b5hSYFTAAKn6d8FThYL57QAcmda,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 06:27:13.000 UTC,LINK,USDT,29.38196558,29.39571017,393.72,binance,dTYyAka8nx1Z42TNCs6ytUX3hZhXv6ywgkMjNki5ZsNYVKbTrvKkJiSbf4MTk88W,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 06:41:48.000 UTC,ADA,USDT,946.68299745,946.12483335,397.61,kucoin,5Aa6eCR62dwesqz3txNvZReud562VK6S7AEHpytwvdcsCbzCwEPF1qZwiBzdsDmD,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 07:13:28.000 UTC,SOL,USDT,2.27862885,2.28005263,323.57,kucoin,qKPrFyoGEDdC19AXP5xJEag7a3hsS7xdPhX9XDSdh6CwiHZVUPUWsyfJSAjiXaKX,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 07:51:11.000 UTC,BCH,USDT,0.47044978,0.47075519,252.16,bybit,ByHgzt1dZYPAWPmDyQ6wzHGBwYb9uYZgMFyrPZf76j2MxwoasrpfXh965n61cTxR,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 08:34:54.000 UTC,LTC,USDT,2.40953826,2.40958894,202.4,pumpdotfun,7m84CVRamWMoxfbzPWuhJwTiUcHj3qT4JEJLm7tib5q1VzxtDLuGPZ3Y1QuCLv9F,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 09:10:14.000 UTC,DOT,USDT,69.20221352,69.15375718,429.05,pumpdotfun,oQsScbD6REPGKwgwrFxSNXA79mYhT1QyB2NRaXxVooLoTH73YPvR7HLMABcKBzaa,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 10:00:29.000 UTC,SOL,USDT,0.08349828,0.08355993,11.86,pumpdotfun,szxcQ3pnbEtGa15PdrCgPButmUyGYJUkC2i63qkH9Y5reZMbCVJpndSZ1RLiJUsn,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 10:17:35.000 UTC,TON,USDT,25.40532847,25.42174902,134.65,okx,jAWTuevJydwmFyBNqfJX8nD549tkVGmAvK5gYyDtT8XFF2gPw5zXneWstdUPd9Ah,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 11:02:44.000 UTC,TRX,USDT,1227.7337455,1227.65304572,343.77,bybit,5JEMDoEV3cRkX9LouFANXcH2oM22kCyNnMCaScMq6Q3qtJ8ca5i5ctBd9xe9pu1i,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 11:51:05.000 UTC,TRX,USDT,101.46570566,101.41066867,28.41,pumpdotfun,mqcHAKVcQwnjkfjDFGUtEhK3Zp4e6EDNcjwbnCRSFy2NzneAm822Ht93YiQfdteq,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 12:02:29.000 UTC,SHIB,USDT,4247014.25808501,4250236.05762298,76.45,binance,SnsweBB53d8mRs4hfjFu2ScKtNoxvtSn7M1QRxfwuNZ3no2NRHxcjT7T2pxXSr9U,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 12:40:31.000 UTC,SHIB,USDT,12241056.20046983,12234168.67869106,220.34,okx,222PMdiwBhgBH5UT6p9yBe9ornDSLGxYQ2RCwGDKzs7J1VBYry177uwRjNP65XE4,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 13:28:34.000 UTC,LINK,USDT,26.17756,26.15441121,350.78,pumpdotfun,TZfcHXHnYWdQk16gheNkcN4TiWzThf8EMcmAud7QDX7gpUkiACs19xRteW8jESSd,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 13:57:34.000 UTC,TON,USDT,53.81819169,53.78175895,285.24,binance,QW1RobmEwS24aHDsFKfi2bGEgz29CQc8tp6Vc6VjEDJA3og3hqAcFY3Ys2EN2JiD,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 14:35:42.000 UTC,DOGE,USDT,975.88778128,975.40564904,146.38,okx,qSzdQDxJRcJGmG37nKU2N1SZHjZcHJ58juiuW9XvaNCBqs2fRXQ13CJNSN1wCoKb,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 15:21:09.000 UTC,TON,USDT,40.47557768,40.45102569,214.52,kucoin,eqZjU6uuC3jYgEedLXoqjPowBrAnxJEcMB6xdu1iBYVADu7epRvHayWHW2jrmEY8,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 16:15:27.000 UTC,UNI,USDT,56.82250578,56.84802646,465.94,okx,Er9Qtcn59EaqLixTJTh1fxYHtzhdYkA1UyqjHhGuuG4dTi8Q7h9T8vePQsRrWSBB,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 16:53:02.000 UTC,MATIC,USDT,152.98025599,153.12142358,130.03,okx,92Q6cEnMZ6WiWGgJYk2zJ5FCZw8Xp3znsgmdXp4TZiQuPrHfCxmWBRvbRaBFqvLf,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 17:25:45.000 UTC,DOT,USDT,26.79614357,26.81946289,166.14,binance,75LBejqBKyCBoH14CPBFYrrR5rCi6532PXwoKdT3vMi7GKBxKCmVRpyVfnKCJod3,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 17:29:43.000 UTC,UNI,USDT,34.32375209,34.29843743,281.45,binance,Z9iQVTkPEtSXPHeSX1FL7jgjUSyyGxaFgtjDF9n5K84QZBAbZ7XTZ7pcKea3XPwQ,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 17:32:04.000 UTC,ADA,USDT,970.3542842,969.67830137,407.55,binance,VWf1W7sfBraAQNQ3GUMjEv73BHyFKQTFKFaAj7zvUtTGTrd9JYtL37LBa7UtoZbT,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 18:10:25.000 UTC,ADA,USDT,642.01461175,641.4981587,269.65,bybit,qEWB42Rum8TshtKgd2wvMtRmvLrwXSB3qajmF1pRgqFHGENNtvPXDueuNkZCrGJL,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 18:15:56.000 UTC,MATIC,USDT,37.07122382,37.05171575,31.51,raydium,aXMDNUBWwjQDD3iZGmjvKSRK99Zeez73jKj3zasNmWYeMu1t3a5ejr9BhMPtnB3C,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 18:56:32.000 UTC,TON,USDT,73.85706737,73.84969823,391.44,kucoin,vMNZTqfQ6RksRGhYdy4RwktdmaQ7wGtPrPJovQLXrUqP4fMEPuFTTHkkDSuq45kF,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 19:14:57.000 UTC,LINK,USDT,24.76256165,24.78107251,331.82,okx,X8rV47JnP7LaoDsyjNhPCHKTbzoSg8NJAEc31jGRrDg4cvvxys33GXg2TTWCL5d9,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 19:23:27.000 UTC,ETH,USDT,0.03889336,0.03887975,119.01,raydium,bq6GUB86LKeHnNS343UjadRCSrsgAjKsyVCykp6mUzkq6o2k6f1xzSmtd3LvBSqE,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 19:43:25.000 UTC,SHIB,USDT,3980622.50339462,3977791.15014646,71.65,pumpdotfun,AxvoMvKGg2nTY2c6qFFZZ4nzYambHr3v9KsgnUMThbr7EQWp7q4SeRSyND2aWqp1,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 20:33:05.000 UTC,DOT,USDT,31.98947848,31.98598812,198.33,bybit,ZLwW8wASAc1jTuo3WT5rcZciSkgRtym5zCwkxoLfTHQM7Z79pWfteNQqYdno47Nv,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 20:42:33.000 UTC,ETH,USDT,0.12664034,0.12676659,387.52,okx,ipUPGXJ2a5VRqNFcTAsooZxUKeSQ9P6nTXTX5K7aYvX3F9mPTPTgbRbmtJFbyXpM,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 21:30:03.000 UTC,AVAX,USDT,2.28335757,2.28529408,79.92,bybit,BmK7Jbe2DxU84ChWnxHfpv5xUDs8NYvofCxWX4wExFRcbKZ2uHf64x4vQd41mqp5,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 22:07:31.000 UTC,ADA,USDT,904.41509748,904.58454965,379.85,raydium,wEfZWoCje8SqgHE3ShdT6KL1odj3kXjAxAMbTG1L4FJk1LX6BT1AH8FtqTuyiH7S,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 22:22:28.000 UTC,TRX,USDT,1394.52261132,1395.60590861,390.47,kucoin,ZJm3xkD4X27hK3iGwyRsV6DfgEKBx7n2Y46SjV9BhvLtM2YadbfxrmWiKgBSEorF,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 23:07:06.000 UTC,MATIC,USDT,265.30034348,265.50399592,225.51,kucoin,HjNz62e38eqXNxMszd3tNpYmXcbsVRuGwYpRCnuXwp9iHqgU8Mbbh2pGap1qhjnU,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 00:04:42.000 UTC,DOT,USDT,49.87588522,49.92054711,309.23,pumpdotfun,wqnq5Em7gFFSWFU32jbBdNxhMLoNnZ6sNe9n5yFyjrP728jesFpKNBcStNPGL755,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 00:06:40.000 UTC,BCH,USDT,0.12253695,0.12258783,65.68,pumpdotfun,Nc9ZWo3sXpDUSNS6KJhqgj6yVghHyTydzHs3uJDES2JwfZPPrebgifnQRTeFW2pH,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 00:28:09.000 UTC,AVAX,USDT,7.18930064,7.1927115,251.63,pumpdotfun,CW9jKU7ce8fMgMoDVCworf3cvvcUz1zxLQQfyZUA2xHfTQ5tR6YDkvXPY3mJhsRR,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 01:13:33.000 UTC,TON,USDT,66.8968599,66.8609432,354.55,bybit,mysoFSqVH7bgLii99j58VP9uvh5W1LAH6vpJFKggDDR8cTQvXP66pvUUpfPRySsc,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 01:55:53.000 UTC,DOT,USDT,7.63615424,7.64225645,47.34,bybit,1E3THRzX1eyG1SgUoWXY7ZJk55JAqsAtwFufQYZuZ3SWZmpBEZPWoSbAdqBGjXLG,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 02:07:31.000 UTC,BCH,USDT,0.15992268,0.15989793,85.72,kucoin,WBCuaiqBprP3kP4S43UbQReV4itFSAv3JLDzPwqWwPSm3swxciP1sAcPM1MTQ5tY,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 03:05:00.000 UTC,ETH,USDT,0.02338047,0.02340071,71.54,raydium,Jtae6o53JZ71DYGHGm9NscBjMPMkodtAqgoNct3rJqfQSPfVF4vVeZtfZf1YCQJL,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 03:39:55.000 UTC,DOGE,USDT,314.00855006,314.19637081,47.1,bybit,wUsFS3ZTCEbD5bpJbxpjgcJYCzd1NvzPicZgGhC5txFfW9ybx73pr9nsH1w8Hvxk,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 03:41:44.000 UTC,MATIC,USDT,476.39651384,476.57841816,404.94,okx,q33amDRxXxQ5zDnD5d3az8UbeFFJseac3eHuuzcQDoJMqsRYQTdBThhTXdrxbWiE,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 04:21:01.000 UTC,ETH,USDT,0.07505778,0.07498658,229.68,binance,pkj2My6PkWzWQkh8u9bytYibcoQw7WPNHYarfasGHAFNudjusa1AEz2JNQ74agzm,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 04:59:29.000 UTC,ETH,USDT,0.04733664,0.04737724,144.85,bybit,7K48NNrFzGqPdhw8fwT2bqejVdMCQLAQsmyR6kDnKofrQ59YQvqkxM6emkS2dsKF,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 05:03:38.000 UTC,XRP,USDT,125.58683238,125.64240135,277.55,binance,493WwyCAf9WmvfuyWRdcyiyjv9nMDnxxZ9tKyAMCUFJAL7E1vNVKKTrU3eB9VWdq,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 05:27:46.000 UTC,SOL,USDT,1.86632011,1.86573642,265.02,pumpdotfun,kUSRgUmjunKazpoeFVfsmB6iVKUyfkb2u6rPAmQh3KmLrd7U4gKNxNQkhEPofyzd,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 06:26:49.000 UTC,SOL,USDT,1.43078456,1.42975408,203.17,bybit,m6LT14YTHXcgdVCBcwBm2Nh8icey99RQW625CLe5vYrG2hPwHKVGhndRywTZERyt,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 06:50:13.000 UTC,AVAX,USDT,6.11568878,6.1118216,214.05,kucoin,CmXvPSmsPLG4eB1gCMkTgFcUDdmVz3eGsU2z6SXPQW3zXRUEhA8P8VgXQBjSVYMM,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 07:20:57.000 UTC,LTC,USDT,2.36413897,2.3630184,198.59,bybit,BC43Ss4U9XBFK6q3kAHNRsSQFescPTXPDchgGbL9ju5jVjjkX37hHk7ysvSaMXZg,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 07:59:44.000 UTC,ETH,USDT,0.12416575,0.12428271,379.95,okx,cUEPTBoALzNG8htV17iVovo5MJ5yzRBQVCgm8fFNXwi7hADjYZiWpMbQrvqUvm5y,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 08:13:20.000 UTC,LINK,USDT,32.65497754,32.64063395,437.58,raydium,hqidrRGJW4XZ5JGgqB4U4wbqmRuGrAxgbHW4UNvKGXB8mpKgKgFkEZ7HiXEoedQF,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 09:00:57.000 UTC,DOGE,USDT,881.95107979,881.18766985,132.29,bybit,arWwFgkQ4GY8WBKocq59E64umrHTk4hghaTfSogsSXvWQHZHuUhaQc7ajfMowbG8,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 09:24:02.000 UTC,TON,USDT,34.40579643,34.41751829,182.35,bybit,NNUTcfYu3TzmzjTPRAAGtEkWpZHrmFDPBiiUuNEXHZ1UAohrrmzTQbFGXY6a1cMq,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 10:10:23.000 UTC,MATIC,USDT,114.19511735,114.22913103,97.07,binance,fySbnCddMvFbPNkxSrdaMDtRHLokZNH6oJWuLwjg3NjJmJHi6npvXJ2W9MVotywp,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 10:37:57.000 UTC,TON,USDT,3.47927638,3.47895813,18.44,bybit,g9tzDX7qtLx4j8VT1NHQiXwWudSfieXbkjoZu43B7j5V6mPdAonGnnoH6UqnDwrZ,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 11:30:25.000 UTC,XRP,USDT,103.48493298,103.38614597,228.7,bybit,7ZTauHEi48cDXuLARF7A6SeMa316rqszT11L4ifEWK47rnn3tzBLY2U8jQWkrB8h,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 11:55:50.000 UTC,TRX,USDT,262.97869046,262.94561057,73.63,kucoin,y1jbqxLj1tvtBu7wSe25igq8UDin583gYoxSMm462GRmHeBvVHkRDeFXqUrrVfk5,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 12:48:38.000 UTC,AVAX,USDT,9.62059889,9.62912346,336.72,okx,8wg7FPCDEGEZrmeS2xA2HVgJwhxix439LP3VNbCsFhVMbhsDsShp8Fq9x2vxq1iq,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 13:15:23.000 UTC,MATIC,USDT,247.15495855,247.15792541,210.08,okx,FALonFWGH7Tz44GYgWb6U9Nz3PJfxE6gxjaV8ucBGiXrb82QBgtPoAYEasC7NKbq,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 13:31:57.000 UTC,DOT,USDT,58.61030346,58.60148871,363.38,bybit,5vCwsndaqmqfSLwJ8PDg8NYg1qmqyjbM55PqLmBTGzvMXcLcN1QrRT7hoPypnW18,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 14:09:05.000 UTC,SHIB,USDT,17328820.72250907,17331047.63633595,311.92,kucoin,kzR9nB486caoBnArZx6XsqcfC35i53g459UxgaSZoNtEcrQi9asKfx7H53iEkyE1,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 14:36:05.000 UTC,UNI,USDT,25.31239727,25.29578962,207.56,binance,2hrMvMuLkprfiGGscptQ1zG6jKLdygNQnnmYURextig1oFTbwRUHagu3jBdbuL6f,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 14:49:22.000 UTC,MATIC,USDT,580.8450178,580.67468403,493.72,binance,L13azpTGDe7NfHpqcJtSWi8v18N6xbiAHYvi8SYUw3s42KfnM6k7FWKYaktwW5wL,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 15:25:33.000 UTC,LTC,USDT,3.3993928,3.40196052,285.55,pumpdotfun,y3oxsFdv3X6hTmCPfDg3WwxWiVS8QkbStZyS1VJtmTmA5auZYQ3FEstEo6x5NbQa,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 16:08:39.000 UTC,UNI,USDT,42.03292576,42.04826049,344.67,pumpdotfun,azPJHJCJaapi721naxCPMbyNoMagRqbE1VDaZFyeLeDV7QqNzW5pDLV44Cwg38p8,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 16:30:03.000 UTC,TRX,USDT,824.90666574,824.60462579,230.97,pumpdotfun,fRYzpwDUbq8yVbuuJfp8rQJ7d7DBKUGAEjrdUwHjmtZ8EEAhoAwMZjHmKkXwLsb8,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 17:09:56.000 UTC,ADA,USDT,235.40646461,235.408369,98.87,okx,WviD1arp54qvRzdzhuawocdszsAnoUqq9DJY49i3Lvp1c42sUFYt6wnXBStHbeqj,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 17:57:07.000 UTC,AVAX,USDT,13.38596617,13.38075729,468.51,okx,ibj1ymWn5xRCiAp8HkXfNDohVi4MEii3RoqR9eu6aCneszZDxyM2zcbUphyQeycs,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 18:14:20.000 UTC,TRX,USDT,466.8299065,466.39534002,130.71,kucoin,5oTJWLtZ1qrjqotdbmqbzvKjrBDYfR4vfWLhMNGb1ZupVHoPb787y51Lp4ACvAWh,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 18:45:40.000 UTC,BCH,USDT,0.06619369,0.06614141,35.48,okx,pEQhjaD3J2DaWj4oHC4toTjL2bWbGXQpz49jiXXLaozM9hpPZcEeaZeoiMmS53oc,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 18:48:33.000 UTC,TRX,USDT,889.94753574,890.52757224,249.19,okx,wx9MnQMYggSeVjEtb2ZFoviBDgnsDp4Ttah7N7ww5qKpVqXutYZWvs7gfUb9LWsQ,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 19:18:29.000 UTC,SOL,USDT,1.06378101,1.06296325,151.06,kucoin,swepPsKFMKojGxJVQTZszN1SLK4fNxxDMYiXxTyeEBEn84rGo7nfP1m8kNVBCpei,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 19:26:06.000 UTC,XRP,USDT,215.38522104,215.3379269,476.0,raydium,XvQpJNiCQsGpyoJLDxwa1cbuF1c5pjPRsQPgEXzKMXrCVR2oeP5qcYFuuj13z5KW,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 20:21:05.000 UTC,MATIC,USDT,390.04132994,390.25028948,331.54,pumpdotfun,sPNpdSS2zi3VkYzztP9dg2irfXJCfDS316GSVbg1CPzPd9QPS5EVPrawy2HXErEJ,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 21:18:22.000 UTC,BCH,USDT,0.19314237,0.19299669,103.52,bybit,b3AcH1ZdC8XhoxgARGKJkL3SoUeWtSUorhspJVVJkTCjEt8SdGgzJfYPDX4fYUeb,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 22:13:42.000 UTC,TRX,USDT,456.91245411,457.10010099,127.94,pumpdotfun,cVF6zqD1nMqeUk9ParwvNT2aptEdWDmzf6NWZXurnfc6LYxiJ8XzzP4YxCr9izvb,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 23:03:55.000 UTC,ETH,USDT,0.0154821,0.01548219,47.38,kucoin,jbZXBgot8BjC9WscNGA3vwY9NHUd6BGLQW2PReWWeGTwe1FTLScLFporaYjHL22d,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-02 23:52:55.000 UTC,DOGE,USDT,2022.0943166,2023.87774469,303.31,raydium,2zTvFvU6neM8E177tu4PC4hgWRiN2Cw1piic4BswCPyXvGqXhDoJZpNrXWRKBtsn,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-03 00:43:11.000 UTC,TON,USDT,11.3186916,11.32420352,59.99,raydium,KsTDbLdBVLMuDKLgJtT1HHKE22WaipRGtjGA92i6ZFMREtQ8HnNLVtD6DszxjmMX,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-03 01:15:13.000 UTC,ETH,USDT,0.05618501,0.05620228,171.93,bybit,fwpJCNzC7wihio2aJqNiBCRpVzwSG1dkYx1k6MFVc47uL8WdSYMzyARfvFNAd9H2,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-03 02:00:45.000 UTC,SHIB,USDT,1481039.63224401,1481861.17233509,26.66,binance,pG2gh1g1k7c44HgMYmB8wqVtp2GQuuQCDCDHVZKeM25AAs3ydKhuXY7ZGUwp9kUP,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-03 02:21:47.000 UTC,DOT,USDT,76.93631892,76.92490497,477.01,kucoin,i4wxr9a8vQvqDHozdqEEGFxCtykoF5c4mzPgYjDyn5nC2QnsxYcDkXX4K3nhariF,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-03 03:16:33.000 UTC,MATIC,USDT,126.41823512,126.42019247,107.46,raydium,HmJiZPzSddKJDCpxHRZm1LVL9beL2Hs7K9hDnRTbUvnWVC6oZoNwnqSffAX1V6P4,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-03 03:56:34.000 UTC,ADA,USDT,282.5675987,282.7592229,118.68,okx,pKtGdciaGBEHicXxpaPbf4BoTBtUXf5jHK1rPakDiS7kJWbhX15frChkDUTG9mun,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-03 04:37:24.000 UTC,DOT,USDT,74.12730077,74.12650876,459.59,kucoin,zzZyNeboLAt19mWFJkPRjMbFDqAqpYEAgUthtSGNGuCzRx8m6HzWSRq3eLUpt15o,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-03 05:13:58.000 UTC,BTC,USDT,0.00127188,0.00127226,116.12,kucoin,waKDgBrzCjvyhhtrt3f3EKW1fZ7Pcpsep8dFqRw6apJbcGnqz6zUvjYPt8L8oyhH,spot,1
